 v-sweep         v(Vout)         v-sweep         v(V2)           v-sweep         v(V1)          
 8.00000000e-02  6.05257712e-08  8.00000000e-02  7.00000000e-01  8.00000000e-02  8.00000000e-02 
 9.00000000e-02  6.05257933e-08  9.00000000e-02  7.00000000e-01  9.00000000e-02  9.00000000e-02 
 1.00000000e-01  6.05258223e-08  1.00000000e-01  7.00000000e-01  1.00000000e-01  1.00000000e-01 
 1.10000000e-01  6.05258589e-08  1.10000000e-01  7.00000000e-01  1.10000000e-01  1.10000000e-01 
 1.20000000e-01  6.05259074e-08  1.20000000e-01  7.00000000e-01  1.20000000e-01  1.20000000e-01 
 1.30000000e-01  6.05259710e-08  1.30000000e-01  7.00000000e-01  1.30000000e-01  1.30000000e-01 
 1.40000000e-01  6.05260531e-08  1.40000000e-01  7.00000000e-01  1.40000000e-01  1.40000000e-01 
 1.50000000e-01  6.05261624e-08  1.50000000e-01  7.00000000e-01  1.50000000e-01  1.50000000e-01 
 1.60000000e-01  6.05263067e-08  1.60000000e-01  7.00000000e-01  1.60000000e-01  1.60000000e-01 
 1.70000000e-01  6.05264946e-08  1.70000000e-01  7.00000000e-01  1.70000000e-01  1.70000000e-01 
 1.80000000e-01  6.05267403e-08  1.80000000e-01  7.00000000e-01  1.80000000e-01  1.80000000e-01 
 1.90000000e-01  6.05270641e-08  1.90000000e-01  7.00000000e-01  1.90000000e-01  1.90000000e-01 
 2.00000000e-01  6.05274864e-08  2.00000000e-01  7.00000000e-01  2.00000000e-01  2.00000000e-01 
 2.10000000e-01  6.05280429e-08  2.10000000e-01  7.00000000e-01  2.10000000e-01  2.10000000e-01 
 2.20000000e-01  6.05287704e-08  2.20000000e-01  7.00000000e-01  2.20000000e-01  2.20000000e-01 
 2.30000000e-01  6.05297257e-08  2.30000000e-01  7.00000000e-01  2.30000000e-01  2.30000000e-01 
 2.40000000e-01  6.05309792e-08  2.40000000e-01  7.00000000e-01  2.40000000e-01  2.40000000e-01 
 2.50000000e-01  6.05326202e-08  2.50000000e-01  7.00000000e-01  2.50000000e-01  2.50000000e-01 
 2.60000000e-01  6.05347695e-08  2.60000000e-01  7.00000000e-01  2.60000000e-01  2.60000000e-01 
 2.70000000e-01  6.05375874e-08  2.70000000e-01  7.00000000e-01  2.70000000e-01  2.70000000e-01 
 2.80000000e-01  6.05412780e-08  2.80000000e-01  7.00000000e-01  2.80000000e-01  2.80000000e-01 
 2.90000000e-01  6.05461083e-08  2.90000000e-01  7.00000000e-01  2.90000000e-01  2.90000000e-01 
 3.00000000e-01  6.05524285e-08  3.00000000e-01  7.00000000e-01  3.00000000e-01  3.00000000e-01 
 3.10000000e-01  6.05606934e-08  3.10000000e-01  7.00000000e-01  3.10000000e-01  3.10000000e-01 
 3.20000000e-01  6.05714941e-08  3.20000000e-01  7.00000000e-01  3.20000000e-01  3.20000000e-01 
 3.30000000e-01  6.05855942e-08  3.30000000e-01  7.00000000e-01  3.30000000e-01  3.30000000e-01 
 3.40000000e-01  6.06039773e-08  3.40000000e-01  7.00000000e-01  3.40000000e-01  3.40000000e-01 
 3.50000000e-01  6.06279115e-08  3.50000000e-01  7.00000000e-01  3.50000000e-01  3.50000000e-01 
 3.60000000e-01  6.06590185e-08  3.60000000e-01  7.00000000e-01  3.60000000e-01  3.60000000e-01 
 3.70000000e-01  6.06993459e-08  3.70000000e-01  7.00000000e-01  3.70000000e-01  3.70000000e-01 
 3.80000000e-01  6.07514759e-08  3.80000000e-01  7.00000000e-01  3.80000000e-01  3.80000000e-01 
 3.90000000e-01  6.08186139e-08  3.90000000e-01  7.00000000e-01  3.90000000e-01  3.90000000e-01 
 4.00000000e-01  6.09046796e-08  4.00000000e-01  7.00000000e-01  4.00000000e-01  4.00000000e-01 
 4.10000000e-01  6.10143675e-08  4.10000000e-01  7.00000000e-01  4.10000000e-01  4.10000000e-01 
 4.20000000e-01  6.11531446e-08  4.20000000e-01  7.00000000e-01  4.20000000e-01  4.20000000e-01 
 4.30000000e-01  6.13271656e-08  4.30000000e-01  7.00000000e-01  4.30000000e-01  4.30000000e-01 
 4.40000000e-01  6.15429759e-08  4.40000000e-01  7.00000000e-01  4.40000000e-01  4.40000000e-01 
 4.50000000e-01  6.18070455e-08  4.50000000e-01  7.00000000e-01  4.50000000e-01  4.50000000e-01 
 4.60000000e-01  6.21250232e-08  4.60000000e-01  7.00000000e-01  4.60000000e-01  4.60000000e-01 
 4.70000000e-01  6.25007808e-08  4.70000000e-01  7.00000000e-01  4.70000000e-01  4.70000000e-01 
 4.80000000e-01  6.29353921e-08  4.80000000e-01  7.00000000e-01  4.80000000e-01  4.80000000e-01 
 4.90000000e-01  6.34263318e-08  4.90000000e-01  7.00000000e-01  4.90000000e-01  4.90000000e-01 
 5.00000000e-01  6.39672590e-08  5.00000000e-01  7.00000000e-01  5.00000000e-01  5.00000000e-01 
 5.10000000e-01  6.45486157e-08  5.10000000e-01  7.00000000e-01  5.10000000e-01  5.10000000e-01 
 5.20000000e-01  6.51590401e-08  5.20000000e-01  7.00000000e-01  5.20000000e-01  5.20000000e-01 
 5.30000000e-01  6.57871454e-08  5.30000000e-01  7.00000000e-01  5.30000000e-01  5.30000000e-01 
 5.40000000e-01  6.64231749e-08  5.40000000e-01  7.00000000e-01  5.40000000e-01  5.40000000e-01 
 5.50000000e-01  6.70600858e-08  5.50000000e-01  7.00000000e-01  5.50000000e-01  5.50000000e-01 
 5.60000000e-01  6.76941308e-08  5.60000000e-01  7.00000000e-01  5.60000000e-01  5.60000000e-01 
 5.70000000e-01  6.83253194e-08  5.70000000e-01  7.00000000e-01  5.70000000e-01  5.70000000e-01 
 5.80000000e-01  6.89590030e-08  5.80000000e-01  7.00000000e-01  5.80000000e-01  5.80000000e-01 
 5.90000000e-01  6.96166056e-08  5.90000000e-01  7.00000000e-01  5.90000000e-01  5.90000000e-01 
 6.00000000e-01  7.04045597e-08  6.00000000e-01  7.00000000e-01  6.00000000e-01  6.00000000e-01 
 6.10000000e-01  7.18906431e-08  6.10000000e-01  7.00000000e-01  6.10000000e-01  6.10000000e-01 
 6.20000000e-01  7.41856315e-08  6.20000000e-01  7.00000000e-01  6.20000000e-01  6.20000000e-01 
 6.30000000e-01  7.71693102e-08  6.30000000e-01  7.00000000e-01  6.30000000e-01  6.30000000e-01 
